gene	tree	count
POLE4	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
GALE	lyase|dehydratase	1
POLE2	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
POLE3	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
ACKR3	hydrolase|phosphatase|protein phosphatase	1
KRAS	enzyme modulator|G-protein|small GTPase	1
TEK	transferase|kinase|protein kinase|receptor tyrosine protein kinase	4
CDA	hydrolase|deaminase	2
PI4K2B	transferase|kinase	1
PRSS1	hydrolase|protease|serine protease	4
EPRS	ligase	1
GRPR	receptor|G-protein coupled receptor	1
GLS	hydrolase	1
GJA1	cell junction protein|gap junction	4
GJA3	cell junction protein|gap junction	3
SCN11A	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	18
GJA5	cell junction protein|gap junction	3
GJA4	cell junction protein|gap junction	3
NAMPT	signaling molecule|cytokine	2
GJA9	cell junction protein|gap junction	3
GJA8	cell junction protein|gap junction	3
GAMT	transferase|methyltransferase	2
PRKCG	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	7
PRKCI	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
PRKCH	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PRKCB	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	10
PRKCE	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	6
PRKCD	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	7
PRKCA	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	20
CEL	hydrolase|esterase	1
